os_name,os_version,ip_checksum,ip_df,ip_hdr_length,ip_id,ip_mf,ip_off,ip_protocol,ip_rf,ip_tos,ip_total_length,ip_ttl,ip_version,tcp_ack,tcp_checksum,tcp_flags,tcp_header_length,tcp_mss,tcp_off,tcp_options,tcp_seq,tcp_timestamp,tcp_timestamp_echo_reply,tcp_urp,tcp_window_scaling,tcp_window_size
Android,11,62583,1,5,20854,0,16384,6,0,0,60,246,4,0,50425,2,20,1460,10,"M1460,S,T,N,W9,",1297201189,417698185,0,0,9,65535
Android,9,27467,1,5,43021,0,16384,6,0,0,60,52,4,0,50509,2,20,1400,10,"M1400,S,T,N,W8,",2006053909,21519384,0,0,8,65535
Android,6.0.1,23130,1,5,53177,0,16384,6,0,0,60,47,4,0,25653,2,20,1460,10,"M1460,S,T,N,W6,",2678961285,5274428,0,0,6,65535
Android,6.0.1,23130,1,5,53177,0,16384,6,0,0,60,47,4,0,25653,2,20,1460,10,"M1460,S,T,N,W6,",2678961285,5274428,0,0,6,65535
Android,6.0.1,23130,1,5,53177,0,16384,6,0,0,60,47,4,0,25653,2,20,1460,10,"M1460,S,T,N,W6,",2678961285,5274428,0,0,6,65535
Android,6.0.1,23130,1,5,53177,0,16384,6,0,0,60,47,4,0,25653,2,20,1460,10,"M1460,S,T,N,W6,",2678961285,5274428,0,0,6,65535
Android,6.0.1,23130,1,5,53177,0,16384,6,0,0,60,47,4,0,25653,2,20,1460,10,"M1460,S,T,N,W6,",2678961285,5274428,0,0,6,65535
Android,6.0.1,50578,1,5,25729,0,16384,6,0,0,60,47,4,0,24747,2,20,1460,10,"M1460,S,T,N,W6,",1033903215,5273838,0,0,6,65535
Android,9,61169,1,5,9831,0,16384,6,0,0,60,50,4,0,47657,2,20,1400,10,"M1400,S,T,N,W8,",2305302028,21444715,0,0,8,65535
Android,9,61169,1,5,9831,0,16384,6,0,0,60,50,4,0,47657,2,20,1400,10,"M1400,S,T,N,W8,",2305302028,21444715,0,0,8,65535
